Name,Pathway
Enalaprilat (dihydrate),Renin-Angiotensin system
Sertraline (hydrochloride),Serotonergic synapse
Clindamycin (hydrochloride),Ribosome- Protein biosynthesis
Ketotifen (fumarate),"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels"
Vecuronium (bromide),Neuroactive ligand-receptor interaction
Azilsartan,"Renin-angiotensin system, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
Pantoprazole (sodium),"Collecting duct acid secretion, 	Gastric acid secretion"
Terazosin (hydrochloride dihydrate),"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction"
Tirofiban (hydrochloride monohydrate),"Platelet activation, Hematopoietic cell lineage"
Sitagliptin,Protein digestion and absorption
Amodiaquine (dihydrochloride dihydrate),NA
Rabeprazole (sodium),"Collecting duct acid secretion, 	Gastric acid secretion"
Guanfacine (hydrochloride),"cGMP-PKG signaling pathway, 	Neuroactive ligand-receptor interaction"
Clopidogrel,Platelet activation
Aminophylline,"Calcium signaling pathway, cAMP signaling pathway, cGMP-PKG signaling pathway, Neuroactive receptor-ligand interaction, vascular smooth muscle contraction"
Verapamil (hydrochloride),"Calcium signaling pathway, Cardiac muscle contraction, Vascular smooth muscle contraction, MAPK signaling pathway"
Chlorpheniramine (maleate),"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels"
Ibuprofen piconol,Arachidonic acid metabolism
Piperacillin (sodium),Peptidoglycan biosynthesis
Pancuronium (dibromide),Neuroactive ligand-receptor interaction
Cyproheptadine (hydrochloride),"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels"
Levamisole (hydrochloride),NA
Dobutamine (hydrochloride),"Calcium signaling pathway, cAMP signaling pathway, cGMP-PKG signaling pathway, Neuroactive receptor-ligand interaction, Adrenergic signaling in cardiomyocytes"
Umeclidinium (bromide),"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse"
Levocarnitine propionate (hydrochloride),NA
Ranitidine (hydrochloride),"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion"
Tafenoquine (Succinate),NA
Betamethasone dipropionate,Neuroactive ligand-receptor interaction
Atazanavir (sulfate),Protein synthesis?
(R)-(-)-Ibuprofen,Arachidonic acid metabolism
Cefditoren (Pivoxil),Peptidoglycan biosynthesis
Montelukast (sodium),"Calcium signaling pathway, Neuroactive ligand-receptor interaction"
Clonidine (hydrochloride),"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction"
(S)-Timolol (Maleate),"Calcium signaling pathway,  Neuroactive receptor-ligand interaction, 	cGMP-PKG signaling pathway, cAMP signaling pathway, Adrenergic signaling in cardiomyocytes"
Diclofenac,Arachidonic acid metabolism
Amoxicillin (sodium),Peptidoglycan biosynthesis
Liothyronine (sodium),"Neuroactive ligand-receptor interaction, Thyroid hormone signaling pathway"
Cefepime (Dihydrochloride Monohydrate),Peptidoglycan biosynthesis
S-Ruxolitinib (INCB018424),"Chemokine signaling pathway, JAK-STAT signaling pathway"
Nicardipine (hydrochloride),"Calcium signaling pathway,  Neuroactive receptor-ligand interaction, vascular smooth muscle contraction, Adrenergic signaling in cardiomyocytes"
ADENOSINE,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction"
Sodium Salicylate,Arachidonic acid metabolism
Tamoxifen (Citrate),Estrogen signaling pathway
Liothyronine,"Neuroactive ligand-receptor interaction, Thyroid hormone signaling pathway"
LANSOPRAZOLE,"Collecting duct acid secretion, 	Gastric acid secretion"
ISRADIPINE,"Calcium signaling pathway, Cardiac muscle contraction, Cardiac muscle contraction, Vascular smooth muscle contraction"
FELODIPINE,"Calcium signaling pathway, Cardiac muscle contraction, Vascular smooth muscle contraction, adrenergic signalling in cardiomyocytes"
CIPROFLOXACIN,DNA synthesis/replication
DAPSONE,Folate biosynthesis
AMINOCAPROIC ACID HYDROCHLORIDE,Complement and coagulation cascades
ATENOLOL,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes"
DIPYRIDAMOLE,"cGMP-PKG signaling pathway, cAMP signaling pathway"
BUMETANIDE,NA
CHLORTHALIDONE,NA
DISULFIRAM,"Glycolysis / Gluconeogenesis, Fatty acid degradation, Pyruvate metabolism"
CETYLPYRIDINIUM CHLORIDE,No
CYPROHEPTADINE HYDROCHLORIDE,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels"
SULFAMETHOXAZOLE,Folate biosynthesis
TRIAMTERENE,Aldosterone-regulated sodium reabsorption
PRAZOSIN HYDROCHLORIDE,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
IBUPROFEN,Arachidonic acid metabolism
METHYLDOPA,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction"
BENDROFLUMETHIAZIDE,No
METOLAZONE,NA
INDAPAMIDE,NA
CYCLOSPORINE,"MAPK signaling pathway, Cellular senescence, Osteoclast differentiation, Natural killer cell mediated cytotoxicity, Th1 and Th2 cell differentiation, Th17 cell differentiation, T cell receptor signaling pathway"
FLUORESCEIN,NA
THEOPHYLLINE,"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction"
PROPRANOLOL HYDROCHLORIDE (+/-),"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes"
ETHACRYNIC ACID,NA
FLURBIPROFEN,Arachidonic acid metabolism
BUPIVACAINE HYDROCHLORIDE,Dopaminergic synapse
PINDOLOL,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes"
PROMETHAZINE HYDROCHLORIDE,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels"
PENTOXIFYLLINE,NA
GUANFACINE HYDROCHLORIDE,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction"
INDOMETHACIN,Arachidonic acid metabolism
PYRIDOSTIGMINE BROMIDE,"Glycerophospholipid metabolism, Cholinergic synapse"
DIPHENHYDRAMINE HYDROCHLORIDE,"Calcium signaling pathway, Neuroactive ligand-receptor interaction"
ASPIRIN,Arachidonic acid metabolism
HYDROCORTISONE ACETATE,Neuroactive ligand-receptor interaction
FUROSEMIDE,NA
TRIMETHOPRIM,Folate biosynthesis
HYDROCHLOROTHIAZIDE,NA
CHLORHEXIDINE DIHYDROCHLORIDE,
RETINOL,NA
CHLOROTHIAZIDE,NA
ALBUTEROL,"Calcium signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction"
MELATONIN,"Neuroactive ligand-receptor interaction, Circadian entrainment"
Fostamatinib (R788),"NF-kappa B signaling pathway, B cell receptor signaling pathway"
GLUTAMINE (D),NA
Rapamycin,mTOR signaling pathway
Diroximel fumarate,NA
Apremilast,"Purine metabolism, cAMP signaling pathway"
Beclometasone dipropionate,Neuroactive ligand-receptor interaction
Iloprost,"Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction, Platelet activation"
Pirfenidone,"TNF signaling pathway, Hematopoietic cell lineage, TGF-beta signaling pathway, Cellular senescence, Cytokine-cytokine receptor interaction"
Acalabrutinib,"Platelet activation, B cell receptor signaling pathway"
Vortioxetine,"Neuroactive ligand-receptor interaction, Serotonergic synapse"
Tenofovir Disoproxil,
Tazemetostat,"Lysine degradation, MicroRNAs in cancer"
Regadenoson,"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction"
Ritonavir,Protein biosynthesis
Zafirlukast,"Calcium signaling pathway, Neuroactive ligand-receptor interaction"
Emtricitabine,NA
Aprepitant,Neuroactive ligand-receptor interaction
Minoxidil ,ABC transporters
PREGABALIN HYDROCHLORIDE,MAPK signaling pathway
GLYCOPYRROLATE,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Cholinergic synapse, Gastric acid secretion"
GLUCOSAMINE HYDROCHLORIDE,
NIACINAMIDE,NA
ESTRADIOL CYPIONATE,Estrogen signaling pathway
Estradiol (cypionate),Estrogen signaling pathway
Estradiol valerianate,Estrogen signaling pathway
Cyclosporin A,"MAPK signaling pathway, Cellular senescence, Osteoclast differentiation, Natural killer cell mediated cytotoxicity, Th1 and Th2 cell differentiation, Th17 cell differentiation, T cell receptor signaling pathway"
ITRACONAZOLE HYDROCHLORIDE,Steroid biosynthesis
NICARDIPINE HYDROCHLORIDE,"Calcium signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
AMIODARONE HYDROCHLORIDE,"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
CARVEDILOL,"Calcium signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
THIAMINE,NA
NIACIN,NA
Darunavir,Protein biosynthesis
Cobicistat,NA
Fluticasone (propionate),Neuroactive ligand-receptor interaction
Tenofovir alafenamide,NA
Sofosbuvir,NA
Ethynyl Estradiol,Estrogen signaling pathway
Nelfinavir,Protein biosynthesis
Dolutegravir,NA
Lopinavir,Protein biosynthesis
Ledipasvir,NA
Edoxaban,Complement and coagulation cascades
Eplerenone,Aldosterone-regulated sodium reabsorption
Linagliptin,Protein digestion and absorption
Ticagrelor,Platelet activation
Ropivacaine,Dopaminergic synapse
Raltegravir,NA
Etravirine,NA
Salmeterol,"Calcium signaling pathway, cAMP signaling pathway, Neuroactive receptor-ligand interaction"
Sucrose,NA
D-α-Tocopherol acetate,NA
α-Vitamin E,NA
Eicosapentaenoic Acid,NA
FENOFIBRATE,"PPAR signaling pathway, Adipocytokine signaling pathway"
FENOFIBRIC ACID,"PPAR signaling pathway, Adipocytokine signaling pathway"
AMLODIPINE BESYLATE,"Calcium signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
NISOLDIPINE,"Calcium signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
DOXAZOSIN MESYLATE,"Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
AZELASTINE HYDROCHLORIDE,"Calcium signaling pathway, Neuroactive ligand-receptor interaction"
FLUOXETINE HYDROCHLORIDE,Seratonergic synapse
OLANZAPINE,"Neuroactive ligand-receptor interaction, Seratonergic synapse , Dopaminergic synapse"
DEFEROXAMINE MESYLATE,NA
PIOGLITAZONE HYDROCHLORIDE,"PPAR signaling pathway, AMPK signaling pathway"
CELECOXIB,Arachidonic acid metabolism
SILDENAFIL CITRATE,cGMP-PKG signaling pathway
MEFLOQUINE,NA
APIXABAN,Complement and coagulation cascades
MOXIFLOXACIN HYDROCHLORIDE,DNA synthesis/replication
METFORMIN HYDROCHLORIDE,"AMPK signaling pathway, Insulin signaling pathway, Adipocytokine signaling pathway"
ATRACURIUM BESYLATE,Neuroactive ligand-receptor interaction
AMANTADINE HYDROCHLORIDE,"Neuroactive ligand-receptor interaction, Glutamatergic synapse, Dopaminergic synapse"
HYDRALAZINE HYDROCHLORIDE,NA
AMILORIDE HYDROCHLORIDE,Aldosterone-regulated sodium reabsorption
CLONIDINE HYDROCHLORIDE,"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction"
TORSEMIDE,NA
CLOPIDOGREL SULFATE,NA
ACETAMINOPHEN,Arachidonic acid metabolism
LIDOCAINE HYDROCHLORIDE,"Adrenergic signaling in cardiomyocytes, Dopaminergic synapse"
Hydrocortisone 17-butyrate,Neuroactive ligand-receptor interaction
MINOXIDIL HYDROCHLORIDE,ABC transporters
PHENELZINE SULFATE,"Serotonergic synapse, Dopaminergic synapse, Tryptophan metabolism, Phenylalanine metabolism, Tyrosine metabolism"
OMEPRAZOLE,"Collecting duct acid secretion, 	Gastric acid secretion"
PALMIDROL [5mM],NA
Silibinin,NA
Duvelisib (IPI-145_ INK1197),PI3K-Akt signaling pathway
Decitabine,"Cysteine and methionine metabolism, MicroRNAs in cancer"
Hesperidin,NA
Ruxolitinib (INCB018424),"Chemokine signaling pathway, JAK-STAT signaling pathway"
Estradiol benzoate,Estrogen signaling pathway
Dexamethasone,Neuroactive ligand-receptor interaction
Genistein,NA
AZILSARTAN MEDOXOMIL,"Renin-angiotensin system, Neuroactive ligand-receptor interaction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
CLINDAMYCIN HYDROCHLORIDE,Ribosome- protein biosynthesis
TRAMADOL HYDROCHLORIDE,Neuroactive ligand-receptor interaction
TENOFOVIR,NA
Febuxostat,"Purine metabolism, Peroxisome"
Oseltamivir (phosphate),NA
Ezetimibe,Fat digestion and absorption
Rivaroxaban,Complement and coagulation cascades
Artesunate,NA
(S)-(+)-Ibuprofen,Arachidonic acid metabolism
Levofloxacin,DNA synthesis/replication
Nicorandil,"ABC transporters, cGMP-PKG signaling pathway, Vascular smooth muscle contraction"
Nitazoxanide,NA
Ramelteon,"Neuroactive ligand-receptor interaction, Circadian entrainment"
Tadalafil,Purine metabolism
Prasugrel,Platelet activation
Chloroquine Phosphate,NA
HYDROCORTISONE HEMISUCCINATE,Neuroactive ligand-receptor interaction
Azithromycin,Ribosome- protein biosynthesis
Tazobactam,beta-Lactam resistance
ATOVAQUONE,NA
Famotidine,"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gastric acid secretion"
Nifedipine,"Calcium signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction"
Clarithromycin,Ribosome- protein biosynthesis
Spironolactone,Aldosterone-regulated sodium reabsorption
Metronidazole,DNA synthesis/replication
Amoxicillin,Peptidoglycan biosynthesis
Progesterone,"Oocyte meiosis, Progesterone-mediated oocyte maturation, Estrogen signaling pathway"
Hydrocortisone,Neuroactive ligand-receptor interaction
Methylprednisolone,Neuroactive ligand-receptor interaction
Prednisolone,Neuroactive ligand-receptor interaction
Naproxen,Arachidonic acid metabolism
Clofazimine,NA
Loratadine,"Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels"
Vitamin K1,NA
Reserpine,"Synaptic vesicle cycle, Serotonergic synapse, Dopaminergic synapse"
Acetylcysteine,NA
Mometasone furoate,Neuroactive ligand-receptor interaction
Dexamethasone acetate,Neuroactive ligand-receptor interaction
Estradiol,Estrogen signaling pathway
L-Ascorbic acid,NA
Folic acid,NA
Biotin,NA